Freq.	V(vout)
4.78630092322635e+002	(4.73920055444160e+000dB,-1.72468324217198e+002°)
4.89778819368443e+002	(4.77299795828620e+000dB,-1.72398165495770e+002°)
5.01187233627268e+002	(4.80728287878666e+000dB,-1.72336693262955e+002°)
5.12861383991361e+002	(4.84197778108646e+000dB,-1.72283954456961e+002°)
5.24807460249769e+002	(4.87700647189348e+000dB,-1.72239964978689e+002°)
5.37031796370249e+002	(4.91229438618681e+000dB,-1.72204711083995e+002°)
5.49540873857620e+002	(4.94776884978031e+000dB,-1.72178150883233e+002°)
5.62341325190345e+002	(4.98335931705780e+000dB,-1.72160215929738e+002°)
5.75439937337152e+002	(5.01899758356507e+000dB,-1.72150812881812e+002°)
5.88843655355584e+002	(5.05461797330851e+000dB,-1.72149825220876e+002°)
6.02559586074353e+002	(5.09015750086091e+000dB,-1.72157115010144e+002°)
6.16595001861477e+002	(5.12555600866838e+000dB,-1.72172524678908e+002°)
6.30957344480188e+002	(5.16075628003852e+000dB,-1.72195878817445e+002°)
6.45654229034650e+002	(5.19570412848855e+000dB,-1.72226985969760e+002°)
6.60693448007591e+002	(5.23034846442004e+000dB,-1.72265640410196e+002°)
6.76082975391976e+002	(5.26464134004015e+000dB,-1.72311623893706e+002°)
6.91830970918931e+002	(5.29853797366517e+000dB,-1.72364707368277e+002°)
7.07945784384132e+002	(5.33199675465333e+000dB,-1.72424652639896e+002°)
7.24435960074984e+002	(5.36497923030131e+000dB,-1.72491213982272e+002°)
7.41310241300911e+002	(5.39745007594896e+000dB,-1.72564139683367e+002°)
7.58577575029177e+002	(5.42937704983075e+000dB,-1.72643173522814e+002°)
7.76247116628685e+002	(5.46073093401556e+000dB,-1.72728056174724e+002°)
7.94328234724275e+002	(5.49148546291118e+000dB,-1.72818526531890e+002°)
8.12830516164092e+002	(5.52161724071900e+000dB,-1.72914322948395e+002°)
8.31763771102664e+002	(5.55110564931594e+000dB,-1.73015184397952e+002°)
8.51138038202369e+002	(5.57993274786860e+000dB,-1.73120851547153e+002°)
8.70963589956073e+002	(5.60808316555012e+000dB,-1.73231067742657e+002°)
8.91250938133738e+002	(5.63554398865105e+000dB,-1.73345579912788e+002°)
9.12010839355902e+002	(5.66230464325374e+000dB,-1.73464139384654e+002°)
9.33254300796983e+002	(5.68835677465758e+000dB,-1.73586502618228e+002°)
9.54992586021428e+002	(5.71369412463130e+000dB,-1.73712431859193e+002°)
9.77237220955802e+002	(5.73831240745863e+000dB,-1.73841695714058e+002°)
9.99999999999991e+002	(5.76220918573494e+000dB,-1.73974069649548e+002°)
1.02329299228075e+003	(5.78538374672081e+000dB,-1.74109336420579e+002°)
1.04712854805089e+003	(5.80783698000849e+000dB,-1.74247286429758e+002°)
1.07151930523760e+003	(5.82957125718854e+000dB,-1.74387718022897e+002°)
1.09647819614318e+003	(5.85059031408690e+000dB,-1.74530437724402e+002°)
1.12201845430195e+003	(5.87089913608349e+000dB,-1.74675260416442e+002°)
1.14815362149687e+003	(5.89050384696048e+000dB,-1.74822009466501e+002°)
1.17489755493952e+003	(5.90941160161722e+000dB,-1.74970516807590e+002°)
1.20226443461740e+003	(5.92763048295997e+000dB,-1.75120622974887e+002°)
1.23026877081237e+003	(5.94516940317160e+000dB,-1.75272177103474e+002°)
1.25892541179416e+003	(5.96203800954294e+000dB,-1.75425036890795e+002°)
1.28824955169312e+003	(5.97824659494452e+000dB,-1.75579068528083e+002°)
1.31825673855640e+003	(5.99380601302765e+000dB,-1.75734146604290e+002°)
1.34896288259164e+003	(6.00872759811256e+000dB,-1.75890153986138e+002°)
1.38038426460287e+003	(6.02302308976294e+000dB,-1.76046981677771e+002°)
1.41253754462274e+003	(6.03670456195225e+000dB,-1.76204528663083e+002°)
1.44543977074591e+003	(6.04978435670619e+000dB,-1.76362701733767e+002°)
1.47910838816819e+003	(6.06227502209159e+000dB,-1.76521415305675e+002°)
1.51356124843619e+003	(6.07418925437607e+000dB,-1.76680591226199e+002°)
1.54881661891247e+003	(6.08553984416973e+000dB,-1.76840158574794e+002°)
1.58489319246110e+003	(6.09633962636193e+000dB,-1.77000053458559e+002°)
1.62181009735891e+003	(6.10660143359558e+000dB,-1.77160218805113e+002°)
1.65958690743754e+003	(6.11633805310642e+000dB,-1.77320604153722e+002°)
1.69824365246173e+003	(6.12556218664416e+000dB,-1.77481165446597e+002°)
1.73780082874936e+003	(6.13428641325692e+000dB,-1.77641864821040e+002°)
1.77827941003891e+003	(6.14252315473342e+000dB,-1.77802670403675e+002°)
1.81970085860997e+003	(6.15028464339701e+000dB,-1.77963556107294e+002°)
1.86208713666285e+003	(6.15758289211996e+000dB,-1.78124501430887e+002°)
1.90546071796323e+003	(6.16442966625254e+000dB,-1.78285491263308e+002°)
1.94984459975803e+003	(6.17083645731407e+000dB,-1.78446515690550e+002°)
1.99526231496886e+003	(6.17681445823400e+000dB,-1.78607569806974e+002°)
2.04173794466951e+003	(6.18237453996422e+000dB,-1.78768653530081e+002°)
2.08929613085402e+003	(6.18752722928618e+000dB,-1.78929771418861e+002°)
2.13796208950221e+003	(6.19228268769873e+000dB,-1.79090932495342e+002°)
2.18776162394953e+003	(6.19665069121612e+000dB,-1.79252150068853e+002°)
2.23872113856832e+003	(6.20064061099419e+000dB,-1.79413441562700e+002°)
2.29086765276775e+003	(6.20426139468168e+000dB,-1.79574828342712e+002°)
2.34422881531990e+003	(6.20752154842898e+000dB,-1.79736335547041e+002°)
2.39883291901947e+003	(6.21042911949539e+000dB,-1.79897991916814e+002°)
2.45470891568501e+003	(6.21299167940707e+000dB,1.79940170372997e+002°)
2.51188643150955e+003	(6.21521630767633e+000dB,1.79778115882885e+002°)
2.57039578276884e+003	(6.21710957603374e+000dB,1.79615806078961e+002°)
2.63026799189535e+003	(6.21867753321215e+000dB,1.79453199504177e+002°)
2.69153480392689e+003	(6.21992569028675e+000dB,1.79290251951081e+002°)
2.75422870333814e+003	(6.22085900659948e+000dB,1.79126916636476e+002°)
2.81838293126442e+003	(6.22148187631588e+000dB,1.78963144378090e+002°)
2.88403150312658e+003	(6.22179811562611e+000dB,1.78798883773516e+002°)
2.95120922666635e+003	(6.22181095066726e+000dB,1.78634081381517e+002°)
3.01995172040198e+003	(6.22152300618870e+000dB,1.78468681905610e+002°)
