Freq.	V(vout)
2.02301917867824e+000	(4.28153112523039e+001dB,1.79997548652282e+002°)
2.02768271952125e+000	(4.28153112522697e+001dB,1.79997543001342e+002°)
2.03235701093619e+000	(4.28153112522353e+001dB,1.79997537337375e+002°)
2.03704207770569e+000	(4.28153112522008e+001dB,1.79997531660351e+002°)
2.04173794466950e+000	(4.28153112521662e+001dB,1.79997525970241e+002°)
2.04644463672464e+000	(4.28153112521314e+001dB,1.79997520267013e+002°)
2.05116217882553e+000	(4.28153112520965e+001dB,1.79997514550638e+002°)
2.05589059598411e+000	(4.28153112520614e+001dB,1.79997508821086e+002°)
2.06062991326997e+000	(4.28153112520261e+001dB,1.79997503078325e+002°)
2.06538015581050e+000	(4.28153112519906e+001dB,1.79997497322326e+002°)
2.07014134879101e+000	(4.28153112519550e+001dB,1.79997491553059e+002°)
2.07491351745488e+000	(4.28153112519192e+001dB,1.79997485770491e+002°)
2.07969668710366e+000	(4.28153112518833e+001dB,1.79997479974594e+002°)
2.08449088309726e+000	(4.28153112518472e+001dB,1.79997474165335e+002°)
2.08929613085401e+000	(4.28153112518109e+001dB,1.79997468342685e+002°)
2.09411245585086e+000	(4.28153112517745e+001dB,1.79997462506612e+002°)
2.09893988362349e+000	(4.28153112517379e+001dB,1.79997456657086e+002°)
2.10377843976644e+000	(4.28153112517011e+001dB,1.79997450794075e+002°)
2.10862814993326e+000	(4.28153112516642e+001dB,1.79997444917548e+002°)
2.11348903983661e+000	(4.28153112516270e+001dB,1.79997439027475e+002°)
2.11836113524847e+000	(4.28153112515898e+001dB,1.79997433123823e+002°)
2.12324446200018e+000	(4.28153112515523e+001dB,1.79997427206563e+002°)
2.12813904598268e+000	(4.28153112515147e+001dB,1.79997421275661e+002°)
2.13304491314654e+000	(4.28153112514768e+001dB,1.79997415331088e+002°)
2.13796208950220e+000	(4.28153112514389e+001dB,1.79997409372811e+002°)
2.14289060112002e+000	(4.28153112514007e+001dB,1.79997403400798e+002°)
2.14783047413050e+000	(4.28153112513624e+001dB,1.79997397415019e+002°)
2.15278173472434e+000	(4.28153112513239e+001dB,1.79997391415441e+002°)
2.15774440915263e+000	(4.28153112512852e+001dB,1.79997385402032e+002°)
2.16271852372698e+000	(4.28153112512464e+001dB,1.79997379374762e+002°)
2.16770410481966e+000	(4.28153112512073e+001dB,1.79997373333596e+002°)
