time	V(n006)
8.020188720011436e-005	-4.960586e+000
8.050188720011437e-005	-4.964069e+000
8.080188720011437e-005	-4.967204e+000
8.110188720011438e-005	-4.969994e+000
8.127790474295518e-005	-4.971546e+000
8.145392228579599e-005	-4.973027e+000
8.162993982863679e-005	-4.974438e+000
8.180595737147759e-005	-4.975778e+000
8.198197491431840e-005	-4.977047e+000
8.215799245715920e-005	-4.978245e+000
8.233401000000000e-005	-4.979372e+000
8.233402000000000e-005	-4.979357e+000
8.253471388570520e-005	-4.394334e+000
8.273540777141037e-005	-3.839227e+000
8.293610165711557e-005	-3.314035e+000
8.313679554282076e-005	-2.818757e+000
8.333748942852595e-005	-2.353395e+000
8.353818331423113e-005	-1.917948e+000
8.373887719993632e-005	-1.512416e+000
8.393887719993633e-005	-1.128289e+000
8.403887719993633e-005	-9.448074e-001
8.413887719993633e-005	-7.668192e-001
8.423887719993634e-005	-5.941599e-001
8.433887719993634e-005	-4.266701e-001
8.443887719993634e-005	-2.641949e-001
8.453887719993634e-005	-1.065843e-001
8.463887719993634e-005	4.630742e-002
8.473887719993635e-005	1.946216e-001
8.483887719993635e-005	3.384952e-001
8.493887719993635e-005	4.780612e-001
8.503887719993635e-005	6.134486e-001
8.513887719993636e-005	7.447824e-001
8.533887719993636e-005	9.957715e-001
8.553887719993637e-005	1.231956e+000
8.583887719993637e-005	1.560371e+000
8.613887719993638e-005	1.860162e+000
8.643887719993639e-005	2.133824e+000
8.673887719993640e-005	2.379492e+000
8.703887719993640e-005	2.607668e+000
8.733887719993641e-005	2.818354e+000
8.763887719993642e-005	3.011549e+000
8.793887719993643e-005	3.187252e+000
8.823887719993643e-005	3.345465e+000
8.853887719993644e-005	3.486187e+000
8.872459148565073e-005	3.568703e+000
8.891030577136502e-005	3.647246e+000
8.909602005707930e-005	3.721814e+000
8.928173434279361e-005	3.792408e+000
8.946744862850789e-005	3.859028e+000
8.965316291422218e-005	3.921673e+000
8.983887719993647e-005	3.980345e+000
8.993887719993647e-005	4.010962e+000
9.000000000000001e-005	4.029305e+000
