Freq.	V(outint)
2.18776162394953e+004	(-2.33241832445814e+001dB,-9.07468338204303e+001°)
2.23872113856832e+004	(-2.35243094747699e+001dB,-9.08205149575736e+001°)
2.29086765276775e+004	(-2.37244498459398e+001dB,-9.08946288668351e+001°)
2.34422881531990e+004	(-2.39246046525504e+001dB,-9.09692145798462e+001°)
2.39883291901947e+004	(-2.41247742218401e+001dB,-9.10443113670019e+001°)
2.45470891568501e+004	(-2.43249589123049e+001dB,-9.11199587560031e+001°)
2.51188643150956e+004	(-2.45251591123706e+001dB,-9.11961965516704e+001°)
2.57039578276884e+004	(-2.47253752463635e+001dB,-9.12730648559394e+001°)
2.63026799189536e+004	(-2.49256077689768e+001dB,-9.13506040872036e+001°)
2.69153480392689e+004	(-2.51258571705859e+001dB,-9.14288549998281e+001°)
2.75422870333814e+004	(-2.53261239779228e+001dB,-9.15078587053223e+001°)
2.81838293126443e+004	(-2.55264087528710e+001dB,-9.15876566905476e+001°)
2.88403150312658e+004	(-2.57267120963432e+001dB,-9.16682908400445e+001°)
2.95120922666636e+004	(-2.59270346479801e+001dB,-9.17498034538264e+001°)
3.01995172040199e+004	(-2.61273770864774e+001dB,-9.18322372691253e+001°)
3.09029543251356e+004	(-2.63277401342571e+001dB,-9.19156354810358e+001°)
3.16227766016835e+004	(-2.65281245553149e+001dB,-9.20000417615403e+001°)
3.23593656929625e+004	(-2.67285311595792e+001dB,-9.20855002813749e+001°)
3.31131121482588e+004	(-2.69289608029808e+001dB,-9.21720557307579e+001°)
3.38844156139199e+004	(-2.71294143899942e+001dB,-9.22597533391688e+001°)
