Freq.	V(outint)/V(Vin)
1.65958690743755e+003	(-8.08294473678262e+000dB,9.22525045614959e+001°)
1.69824365246173e+003	(-8.28264072776637e+000dB,9.22009399800350e+001°)
1.73780082874936e+003	(-8.48235037663695e+000dB,9.21505377299553e+001°)
1.77827941003891e+003	(-8.68207307020169e+000dB,9.21012713962378e+001°)
1.81970085860997e+003	(-8.88180822270205e+000dB,9.20531151455791e+001°)
1.86208713666286e+003	(-9.08155527459167e+000dB,9.20060437140600e+001°)
1.90546071796323e+003	(-9.28131369136851e+000dB,9.19600323950265e+001°)
1.94984459975803e+003	(-9.48108296245817e+000dB,9.19150570271810e+001°)
1.99526231496887e+003	(-9.68086260014666e+000dB,9.18710939828842e+001°)
2.04173794466952e+003	(-9.88065213856020e+000dB,9.18281201566653e+001°)
2.08929613085403e+003	(-1.00804511326901e+001dB,9.17861129539414e+001°)
2.13796208950222e+003	(-1.02802591574606e+001dB,9.17450502799426e+001°)
2.18776162394954e+003	(-1.04800758068385e+001dB,9.17049105288420e+001°)
2.23872113856832e+003	(-1.06799006929813e+001dB,9.16656725730895e+001°)
2.29086765276776e+003	(-1.08797334454240e+001dB,9.16273157529457e+001°)
2.34422881531991e+003	(-1.10795737103013e+001dB,9.15898198662165e+001°)
2.39883291901947e+003	(-1.12794211496047e+001dB,9.15531651581826e+001°)
2.45470891568501e+003	(-1.14792754404723e+001dB,9.15173323117256e+001°)
2.51188643150956e+003	(-1.16791362745102e+001dB,9.14823024376445e+001°)
2.57039578276885e+003	(-1.18790033571442e+001dB,9.14480570651636e+001°)
2.63026799189536e+003	(-1.20788764070000e+001dB,9.14145781326258e+001°)
2.69153480392690e+003	(-1.22787551553114e+001dB,9.13818479783718e+001°)
