time	V(vi_op)
4.605821397910570e-003	4.436846e+000
4.612458490860470e-003	4.433660e+000
4.621910472479235e-003	4.429307e+000
4.629354600293965e-003	4.426029e+000
4.635283188694933e-003	4.423543e+000
4.641855247365665e-003	4.420912e+000
4.647127386787573e-003	4.418897e+000
4.653005357431195e-003	4.416779e+000
4.662770982431195e-003	4.413507e+000
4.672536607431195e-003	4.410528e+000
4.682302232431194e-003	4.407882e+000
4.692067857431194e-003	4.405581e+000
4.701833482431194e-003	4.403632e+000
4.711599107431194e-003	4.402043e+000
4.721364732431193e-003	4.400820e+000
4.731130357431193e-003	4.399967e+000
4.740895982431193e-003	4.399489e+000
4.750661607431193e-003	4.399386e+000
4.760427232431193e-003	4.399653e+000
4.769609583817451e-003	4.400241e+000
4.778211818809186e-003	4.401073e+000
4.783971106051969e-003	4.401777e+000
4.786802133976617e-003	4.402181e+000
4.790712688458316e-003	4.402794e+000
4.792752048461644e-003	4.403133e+000
4.794069249508443e-003	4.403363e+000
4.795336019591832e-003	4.403591e+000
4.796627880277898e-003	4.403830e+000
4.797867884404521e-003	4.404065e+000
4.799518201935350e-003	4.404387e+000
4.800491771036477e-003	4.404581e+000
4.801481821485563e-003	4.404783e+000
4.802968884046751e-003	4.405093e+000
4.804747661771826e-003	4.405475e+000
4.806536887453347e-003	4.405870e+000
4.808391562096869e-003	4.406293e+000
