time	V(n005)
2.659761863719645e-003	-5.440747e-001
2.669527488719645e-003	-5.441062e-001
2.679293113719645e-003	-5.441179e-001
2.689058738719645e-003	-5.441168e-001
2.698824363719645e-003	-5.441045e-001
2.708589988719644e-003	-5.440786e-001
2.718355613719644e-003	-5.440317e-001
2.728121238719644e-003	-5.439453e-001
2.737886863719644e-003	-5.437685e-001
2.747652488719644e-003	-5.433707e-001
2.756362935121973e-003	-5.426177e-001
2.765474025551057e-003	-5.412802e-001
2.775239650551056e-003	-5.393327e-001
2.784347832710822e-003	-5.373168e-001
2.787893383412640e-003	-5.366772e-001
2.792348456796751e-003	-5.361161e-001
2.792367596692100e-003	-5.361140e-001
2.792433219190441e-003	-5.361075e-001
2.792520715854896e-003	-5.360990e-001
2.792695709183805e-003	-5.360827e-001
2.793045695841623e-003	-5.360512e-001
2.793745669157259e-003	-5.359833e-001
2.794482110666527e-003	-5.358924e-001
2.795356163175541e-003	-5.357562e-001
2.796181344734281e-003	-5.356092e-001
2.797223945427269e-003	-5.354021e-001
2.799309146813245e-003	-5.349465e-001
2.800347173764567e-003	-5.346985e-001
2.801740725231432e-003	-5.343379e-001
2.803089201011307e-003	-5.339691e-001
2.804337227970730e-003	-5.336092e-001
2.805709172314732e-003	-5.331936e-001
2.807308640203517e-003	-5.326873e-001
2.808820238913039e-003	-5.321872e-001
2.813514202205093e-003	-5.305014e-001
2.818843916411388e-003	-5.283462e-001
2.828609541411388e-003	-5.239038e-001
2.838375166411388e-003	-5.187812e-001
2.848140791411388e-003	-5.127586e-001
2.857906416411388e-003	-5.055940e-001
2.867672041411387e-003	-4.969044e-001
2.877437666411387e-003	-4.860643e-001
2.887203291411387e-003	-4.719832e-001
2.896968916411387e-003	-4.524974e-001
2.906734541411386e-003	-4.234234e-001
2.916500166411386e-003	-3.780374e-001
2.926265791411386e-003	-3.097018e-001
2.936031416411386e-003	-2.169288e-001
2.945797041411386e-003	-1.037823e-001
2.955562666411385e-003	2.428690e-002
2.965328291411385e-003	1.621162e-001
2.975093916411385e-003	2.990468e-001
2.983316375476608e-003	3.927530e-001
2.991918456533591e-003	4.533946e-001
2.998816160247738e-003	4.782687e-001
3.006445299144837e-003	4.924891e-001
3.016210924144836e-003	5.039693e-001
3.025976549144836e-003	5.121956e-001
3.035742174144836e-003	5.185448e-001
3.045507799144836e-003	5.237722e-001
3.055273424144835e-003	5.282245e-001
3.065039049144835e-003	5.320590e-001
3.074804674144835e-003	5.353130e-001
3.078148416593058e-003	5.360858e-001
3.080861775432678e-003	5.364435e-001
3.082486402284554e-003	5.365911e-001
3.084506019654013e-003	5.367353e-001
3.086487787067000e-003	5.368537e-001
3.088944032182186e-003	5.369784e-001
3.091710602197422e-003	5.370988e-001
3.095128158742120e-003	5.372251e-001
3.099376405049071e-003	5.373569e-001
3.104403047040275e-003	5.374828e-001
3.112548940163615e-003	5.376406e-001
3.121634790996004e-003	5.377725e-001
3.131400415996004e-003	5.378742e-001
3.141166040996004e-003	5.379463e-001
3.150931665996004e-003	5.379981e-001
3.160697290996003e-003	5.380347e-001
3.180228540996003e-003	5.380728e-001
3.199759790996003e-003	5.380712e-001
3.219291040996002e-003	5.380301e-001
3.238822290996002e-003	5.379404e-001
3.248587915996002e-003	5.378694e-001
3.258353540996001e-003	5.377716e-001
3.268119165996001e-003	5.376339e-001
3.277884790996001e-003	5.374361e-001
3.287650415996001e-003	5.371579e-001
3.293383673474777e-003	5.369320e-001
3.299679987247090e-003	5.366038e-001
3.303614034662479e-003	5.363225e-001
3.308062354720751e-003	5.358822e-001
3.310676675977708e-003	5.355079e-001
3.313219644050926e-003	5.349860e-001
3.316017201258743e-003	5.342412e-001
3.319739106812171e-003	5.330619e-001
3.323738404559335e-003	5.315948e-001
3.330971632863575e-003	5.285240e-001
3.340387780632806e-003	5.239041e-001
3.350153405632805e-003	5.183107e-001
3.359919030632805e-003	5.117148e-001
3.369684655632805e-003	5.038232e-001
3.379450280632805e-003	4.941624e-001
3.389215905632805e-003	4.819316e-001
3.398981530632804e-003	4.656766e-001
3.408747155632804e-003	4.423878e-001
3.418512780632804e-003	4.064001e-001
3.428278405632804e-003	3.501778e-001
3.438044030632804e-003	2.688556e-001
3.447809655632803e-003	1.640250e-001
3.457575280632803e-003	4.119420e-002
3.467340905632803e-003	-9.420963e-002
3.477106530632803e-003	-2.346586e-001
3.486872155632803e-003	-3.608870e-001
3.495237730911689e-003	-4.346009e-001
3.503772795852752e-003	-4.731980e-001
3.511708431104619e-003	-4.906531e-001
3.521474056104619e-003	-5.028754e-001
3.531239681104619e-003	-5.113317e-001
3.541005306104619e-003	-5.178091e-001
3.550770931104618e-003	-5.231099e-001
3.560536556104618e-003	-5.275827e-001
3.570302181104618e-003	-5.314911e-001
3.574318493470567e-003	-5.329421e-001
3.576743292540709e-003	-5.337566e-001
3.579218720779446e-003	-5.345561e-001
3.580590076503171e-003	-5.349866e-001
3.581593651209041e-003	-5.352950e-001
3.582575044340902e-003	-5.355822e-001
3.583405474875932e-003	-5.357828e-001
3.584535343635046e-003	-5.359837e-001
3.585523644546540e-003	-5.361265e-001
3.586550451055513e-003	-5.362577e-001
3.588604064073460e-003	-5.364971e-001
3.591373543819884e-003	-5.368171e-001
3.594460195162581e-003	-5.372231e-001
3.598924660948991e-003	-5.379384e-001
3.603336437027841e-003	-5.387507e-001
3.610967984631398e-003	-5.402209e-001
3.619005914867642e-003	-5.416690e-001
3.628771539867641e-003	-5.430954e-001
3.634717328730023e-003	-5.436192e-001
3.641536255196079e-003	-5.438794e-001
3.646106408056364e-003	-5.439619e-001
3.652184393879343e-003	-5.440207e-001
3.661950018879343e-003	-5.440757e-001
3.671715643879343e-003	-5.441035e-001
3.681481268879343e-003	-5.441126e-001
3.691246893879343e-003	-5.441091e-001
3.701012518879342e-003	-5.440937e-001
3.710778143879342e-003	-5.440633e-001
3.720543768879342e-003	-5.440079e-001
3.730309393879342e-003	-5.439037e-001
3.740075018879342e-003	-5.436809e-001
3.749840643879341e-003	-5.431594e-001
3.759606268879341e-003	-5.421238e-001
3.768478059045983e-003	-5.406553e-001
3.777185882549212e-003	-5.388175e-001
3.784037666855901e-003	-5.372738e-001
3.786900601557109e-003	-5.367505e-001
3.791151807028365e-003	-5.361938e-001
3.791152961309053e-003	-5.361937e-001
3.791194845208288e-003	-5.361896e-001
3.791236729107523e-003	-5.361856e-001
3.791278613006758e-003	-5.361815e-001
3.791320496905994e-003	-5.361774e-001
3.791362380805229e-003	-5.361733e-001
3.791404264704464e-003	-5.361692e-001
3.791446148603699e-003	-5.361651e-001
3.792332636171764e-003	-5.360827e-001
3.793514619595851e-003	-5.359672e-001
3.794340642894845e-003	-5.358615e-001
3.795390241634996e-003	-5.356899e-001
3.796409887961544e-003	-5.355014e-001
3.797454728189456e-003	-5.352859e-001
3.799544408645280e-003	-5.348134e-001
3.800557427302088e-003	-5.345653e-001
3.801671030632141e-003	-5.342717e-001
3.803303598221177e-003	-5.338162e-001
3.804975378264663e-003	-5.333209e-001
3.807051799446465e-003	-5.326693e-001
3.808865623879185e-003	-5.320700e-001
3.813617434735576e-003	-5.303527e-001
3.819215727435896e-003	-5.280743e-001
3.828981352435896e-003	-5.235987e-001
3.838746977435895e-003	-5.184338e-001
3.848512602435895e-003	-5.123589e-001
3.858278227435895e-003	-5.051254e-001
3.868043852435895e-003	-4.963406e-001
3.877809477435895e-003	-4.853613e-001
3.887575102435894e-003	-4.710614e-001
3.897340727435894e-003	-4.511977e-001
3.907106352435894e-003	-4.214424e-001
3.916871977435894e-003	-3.749739e-001
3.926637602435894e-003	-3.053246e-001
3.936403227435894e-003	-2.113590e-001
3.946168852435894e-003	-9.732162e-002
3.955934477435893e-003	3.136302e-002
3.965700102435893e-003	1.694654e-001
3.975465727435893e-003	3.058227e-001
3.983546090272135e-003	3.965121e-001
3.992001960527709e-003	4.545713e-001
3.998894241107132e-003	4.787976e-001
4.006497290033029e-003	4.927684e-001
4.016262915033029e-003	5.041474e-001
4.026028540033029e-003	5.123272e-001
4.035794165033029e-003	5.186524e-001
4.045559790033028e-003	5.238646e-001
4.055325415033028e-003	5.283053e-001
4.065091040033028e-003	5.321304e-001
4.074856665033028e-003	5.353794e-001
4.077986092402274e-003	5.360940e-001
4.080748097205622e-003	5.364501e-001
4.082352249251623e-003	5.365952e-001
4.084349674730542e-003	5.367379e-001
4.086164435433665e-003	5.368472e-001
4.088442626829564e-003	5.369647e-001
4.090867553451916e-003	5.370731e-001
4.093773064303602e-003	5.371854e-001
4.097511982334197e-003	5.373088e-001
4.102028505887357e-003	5.374326e-001
4.108738890632967e-003	5.375782e-001
4.117528885434390e-003	5.377232e-001
4.127294510434389e-003	5.378399e-001
4.137060135434389e-003	5.379225e-001
4.146825760434389e-003	5.379817e-001
4.156591385434389e-003	5.380241e-001
