time	V(p001)
1.775879753838667e-003	-3.917311e+000
1.784006711668364e-003	-3.791666e+000
1.788663889909199e-003	-3.724978e+000
1.791545316654300e-003	-3.694959e+000
1.794555827914401e-003	-3.673461e+000
1.796301200306019e-003	-3.662235e+000
1.797366502048364e-003	-3.653316e+000
1.798877256365366e-003	-3.636564e+000
1.800151686635512e-003	-3.620311e+000
1.801401474322255e-003	-3.602795e+000
1.802385085323663e-003	-3.588028e+000
1.803254191326380e-003	-3.574270e+000
1.804135110678761e-003	-3.559730e+000
1.805188203199545e-003	-3.541588e+000
1.807078860955862e-003	-3.507595e+000
1.808572032436739e-003	-3.479603e+000
1.810252607907519e-003	-3.446853e+000
1.812076559397702e-003	-3.410167e+000
1.818059510178213e-003	-3.282042e+000
1.825945688580540e-003	-3.102169e+000
1.835711313580540e-003	-2.868181e+000
1.845476938580540e-003	-2.623167e+000
1.855242563580540e-003	-2.368253e+000
1.865008188580540e-003	-2.104669e+000
1.874773813580540e-003	-1.833515e+000
1.884539438580540e-003	-1.555842e+000
1.894305063580540e-003	-1.272679e+000
1.904070688580540e-003	-9.850482e-001
1.913836313580540e-003	-6.939629e-001
1.923601938580540e-003	-4.004702e-001
1.933367563580540e-003	-1.057159e-001
1.943133188580540e-003	1.890794e-001
1.952898813580540e-003	4.827349e-001
1.962664438580540e-003	7.741457e-001
1.972430063580540e-003	1.062172e+000
1.982195688580540e-003	1.345667e+000
1.990741734434573e-003	1.589109e+000
1.998232901943552e-003	1.798262e+000
2.006480207882170e-003	2.023645e+000
2.015713001685074e-003	2.269569e+000
2.025478626685074e-003	2.521502e+000
2.035244251685073e-003	2.763957e+000
2.045009876685073e-003	2.995889e+000
2.054775501685073e-003	3.216348e+000
2.064541126685073e-003	3.424426e+000
2.074306751685072e-003	3.616417e+000
2.078044052462142e-003	3.675651e+000
2.080112756991815e-003	3.696767e+000
2.082152354195981e-003	3.709516e+000
2.083613498970626e-003	3.716135e+000
2.085733658961391e-003	3.723920e+000
2.087821589948624e-003	3.730388e+000
2.090848049523642e-003	3.738292e+000
2.094859852517028e-003	3.747377e+000
2.098514693916035e-003	3.754393e+000
2.102924192867315e-003	3.761499e+000
2.108704868671561e-003	3.769249e+000
2.117061002720532e-003	3.778010e+000
2.126826627720532e-003	3.785575e+000
2.136592252720532e-003	3.791015e+000
2.146357877720532e-003	3.794928e+000
2.156123502720531e-003	3.797728e+000
2.175654752720531e-003	3.800837e+000
2.195186002720530e-003	3.801247e+000
2.214717252720530e-003	3.799093e+000
2.234248502720530e-003	3.793911e+000
2.244014127720529e-003	3.789763e+000
2.253779752720529e-003	3.784078e+000
2.263545377720529e-003	3.776154e+000
2.273311002720529e-003	3.764871e+000
2.281769680190011e-003	3.751221e+000
2.289386060704422e-003	3.735103e+000
2.294457027496655e-003	3.720827e+000
2.299438613326378e-003	3.701921e+000
2.304578929255680e-003	3.676263e+000
2.308122330631367e-003	3.651454e+000
2.310497086412538e-003	3.626845e+000
2.312676330478925e-003	3.595908e+000
2.316196051064213e-003	3.535285e+000
2.319877854406112e-003	3.462550e+000
2.325813112977980e-003	3.331796e+000
2.333090861696048e-003	3.158285e+000
2.342856486696048e-003	2.911099e+000
2.352622111696047e-003	2.652781e+000
2.362387736696047e-003	2.385072e+000
2.372153361696047e-003	2.109520e+000
2.381918986696047e-003	1.827312e+000
2.391684611696047e-003	1.539539e+000
2.401450236696046e-003	1.247246e+000
2.411215861696046e-003	9.514589e-001
2.420981486696046e-003	6.531965e-001
2.430747111696046e-003	3.535186e-001
2.440512736696046e-003	5.358839e-002
2.450278361696045e-003	-2.453759e-001
2.460043986696045e-003	-5.422155e-001
2.469809611696045e-003	-8.358433e-001
2.479575236696045e-003	-1.125096e+000
2.489340861696044e-003	-1.408799e+000
2.498192706600915e-003	-1.660462e+000
2.505220442479134e-003	-1.855922e+000
2.512971934663653e-003	-2.066393e+000
2.522737559663652e-003	-2.324101e+000
2.532503184663652e-003	-2.572821e+000
2.542268809663652e-003	-2.811163e+000
2.552034434663652e-003	-3.038222e+000
2.561800059663652e-003	-3.253083e+000
2.571565684663651e-003	-3.456959e+000
2.575409118267138e-003	-3.533972e+000
2.575412675741484e-003	-3.534038e+000
2.575585467352563e-003	-3.537378e+000
2.575758258963641e-003	-3.540712e+000
2.575931050574719e-003	-3.544042e+000
2.576103842185798e-003	-3.547366e+000
2.576276633796876e-003	-3.550685e+000
2.576449425407955e-003	-3.554000e+000
2.576622217019033e-003	-3.557309e+000
2.577836501595710e-003	-3.580475e+000
2.578719189599471e-003	-3.597174e+000
2.579450723857298e-003	-3.610898e+000
2.580028186443041e-003	-3.621677e+000
2.581479969467281e-003	-3.648568e+000
2.582426698558353e-003	-3.664740e+000
2.583179970628770e-003	-3.674619e+000
2.583988909746341e-003	-3.682278e+000
2.584989359346375e-003	-3.690314e+000
2.586033547957487e-003	-3.697788e+000
2.588121925179711e-003	-3.711625e+000
2.590408495810792e-003	-3.727342e+000
2.594306519644090e-003	-3.759489e+000
2.599457563072600e-003	-3.813698e+000
2.604233778877567e-003	-3.873080e+000
2.611843376006361e-003	-3.972964e+000
2.619784243601678e-003	-4.071970e+000
2.627633743875110e-003	-4.152165e+000
2.633314167216115e-003	-4.187419e+000
2.639933009211151e-003	-4.205492e+000
2.644298524820368e-003	-4.210892e+000
2.650229911143050e-003	-4.214754e+000
2.659761863719645e-003	-4.218482e+000
2.669527488719645e-003	-4.220492e+000
2.679293113719645e-003	-4.221219e+000
2.689058738719645e-003	-4.221064e+000
2.698824363719645e-003	-4.220098e+000
