Freq.	V(outder)
1.62181009735891e+004	(2.77484259067453e+001dB,7.25717944723346e+001°)
1.65958690743755e+004	(2.79423131478267e+001dB,7.21654447691496e+001°)
1.69824365246173e+004	(2.81359017230395e+001dB,7.17496190671924e+001°)
1.73780082874936e+004	(2.83291766021684e+001dB,7.13240979181694e+001°)
1.77827941003891e+004	(2.85221219642146e+001dB,7.08886570939572e+001°)
1.81970085860997e+004	(2.87147211535737e+001dB,7.04430675265348e+001°)
1.86208713666285e+004	(2.89069566337145e+001dB,6.99870952532269e+001°)
1.90546071796323e+004	(2.90988099382300e+001dB,6.95205013681798e+001°)
1.94984459975803e+004	(2.92902616191235e+001dB,6.90430419810940e+001°)
1.99526231496886e+004	(2.94812911921943e+001dB,6.85544681843622e+001°)
2.04173794466951e+004	(2.96718770793795e+001dB,6.80545260298836e+001°)
2.08929613085402e+004	(2.98619965479133e+001dB,6.75429565169730e+001°)
2.13796208950221e+004	(3.00516256461590e+001dB,6.70194955929327e+001°)
2.18776162394953e+004	(3.02407391359743e+001dB,6.64838741680270e+001°)
2.23872113856832e+004	(3.04293104214701e+001dB,6.59358181467767e+001°)
2.29086765276775e+004	(3.06173114740307e+001dB,6.53750484776944e+001°)
2.34422881531990e+004	(3.08047127534663e+001dB,6.48012812237887e+001°)
2.39883291901947e+004	(3.09914831251829e+001dB,6.42142276563978e+001°)
2.45470891568501e+004	(3.11775897732640e+001dB,6.36135943751557e+001°)
2.51188643150956e+004	(3.13629981093758e+001dB,6.29990834571595e+001°)
2.57039578276884e+004	(3.15476716774308e+001dB,6.23703926386777e+001°)
2.63026799189536e+004	(3.17315720539671e+001dB,6.17272155330384e+001°)
2.69153480392689e+004	(3.19146587442334e+001dB,6.10692418886377e+001°)
2.75422870333814e+004	(3.20968890740086e+001dB,6.03961578913324e+001°)
2.81838293126443e+004	(3.22782180772265e+001dB,5.97076465158054e+001°)
2.88403150312658e+004	(3.24585983795321e+001dB,5.90033879308350e+001°)
2.95120922666636e+004	(3.26379800779559e+001dB,5.82830599637322e+001°)
3.01995172040199e+004	(3.28163106169629e+001dB,5.75463386295516e+001°)
3.09029543251356e+004	(3.29935346612189e+001dB,5.67928987310088e+001°)
3.16227766016835e+004	(3.31695939655059e+001dB,5.60224145353500e+001°)
3.23593656929625e+004	(3.33444272423304e+001dB,5.52345605347045e+001°)
3.31131121482588e+004	(3.35179700278840e+001dB,5.44290122967038e+001°)
3.38844156139199e+004	(3.36901545471551e+001dB,5.36054474123473e+001°)
3.46736850452528e+004	(3.38609095791375e+001dB,5.27635465482332e+001°)
3.54813389233572e+004	(3.40301603232489e+001dB,5.19029946103202e+001°)
3.63078054770098e+004	(3.41978282682547e+001dB,5.10234820263419e+001°)
3.71535229097169e+004	(3.43638310651891e+001dB,5.01247061538121e+001°)
3.80189396320557e+004	(3.45280824059776e+001dB,4.92063728202439e+001°)
3.89045144994277e+004	(3.46904919096939e+001dB,4.82681980016953e+001°)
3.98107170553493e+004	(3.48509650186206e+001dB,4.73099096450557e+001°)
4.07380277804108e+004	(3.50094029065316e+001dB,4.63312496385410e+001°)
