second,Volt
+624.00E-06,+4.87656260E+00
+625.00E-06,+4.88046885E+00
+626.00E-06,+4.87851572E+00
+627.00E-06,+4.87070322E+00
+628.00E-06,+4.87851572E+00
+629.00E-06,+4.88046885E+00
+630.00E-06,+4.88046885E+00
+631.00E-06,+4.87851572E+00
+632.00E-06,+4.87656260E+00
+633.00E-06,+4.87460947E+00
+634.00E-06,+4.88046885E+00
+635.00E-06,+4.87460947E+00
+636.00E-06,+4.87656260E+00
+637.00E-06,+4.87656260E+00
+638.00E-06,+4.88046885E+00
+639.00E-06,+4.87265635E+00
+640.00E-06,+4.87460947E+00
+641.00E-06,+4.87656260E+00
+642.00E-06,+4.88046885E+00
+643.00E-06,+4.87460947E+00
+644.00E-06,+4.87851572E+00
+645.00E-06,+4.87851572E+00
+646.00E-06,+4.88242197E+00
+647.00E-06,+4.87460947E+00
+648.00E-06,+4.87656260E+00
+649.00E-06,+4.87656260E+00
+650.00E-06,+4.88046885E+00
