Freq.	V(vin)/I(V3)
7.94328234724277e+002	(8.69518520142580e+001dB,-8.91505473298470e+001°)
8.12830516164095e+002	(8.67518661332759e+001dB,-8.91307609474705e+001°)
8.31763771102666e+002	(8.65518809177710e+001dB,-8.91105136747616e+001°)
8.51138038202372e+002	(8.63518963991129e+001dB,-8.90897947757575e+001°)
8.70963589956076e+002	(8.61519126101501e+001dB,-8.90685932643886e+001°)
8.91250938133741e+002	(8.59519295852802e+001dB,-8.90468978986549e+001°)
9.12010839355905e+002	(8.57519473605223e+001dB,-8.90246971746585e+001°)
9.33254300796986e+002	(8.55519659735942e+001dB,-8.90019793205024e+001°)
9.54992586021431e+002	(8.53519854639920e+001dB,-8.89787322900458e+001°)
9.77237220955805e+002	(8.51520058730743e+001dB,-8.89549437565098e+001°)
9.99999999999994e+002	(8.49520272441498e+001dB,-8.89306011059413e+001°)
1.02329299228075e+003	(8.47520496225698e+001dB,-8.89056914305181e+001°)
1.04712854805089e+003	(8.45520730558240e+001dB,-8.88802015217018e+001°)
1.07151930523760e+003	(8.43520975936418e+001dB,-8.88541178632245e+001°)
1.09647819614318e+003	(8.41521232880978e+001dB,-8.88274266239275e+001°)
1.12201845430196e+003	(8.39521501937227e+001dB,-8.88001136504073e+001°)
1.14815362149688e+003	(8.37521783676188e+001dB,-8.87721644595154e+001°)
1.17489755493952e+003	(8.35522078695820e+001dB,-8.87435642306714e+001°)
1.20226443461741e+003	(8.33522387622284e+001dB,-8.87142977979916e+001°)
1.23026877081237e+003	(8.31522711111275e+001dB,-8.86843496422466e+001°)
1.25892541179416e+003	(8.29523049849422e+001dB,-8.86537038826211e+001°)
1.28824955169313e+003	(8.27523404555740e+001dB,-8.86223442682837e+001°)
1.31825673855640e+003	(8.25523775983165e+001dB,-8.85902541697637e+001°)
1.34896288259165e+003	(8.23524164920155e+001dB,-8.85574165701232e+001°)
1.38038426460288e+003	(8.21524572192367e+001dB,-8.85238140559208e+001°)
1.41253754462275e+003	(8.19524998664413e+001dB,-8.84894288079697e+001°)
1.44543977074592e+003	(8.17525445241701e+001dB,-8.84542425918767e+001°)
1.47910838816820e+003	(8.15525912872364e+001dB,-8.84182367483589e+001°)
1.51356124843620e+003	(8.13526402549277e+001dB,-8.83813921833363e+001°)
1.54881661891247e+003	(8.11526915312168e+001dB,-8.83436893577947e+001°)
1.58489319246110e+003	(8.09527452249840e+001dB,-8.83051082774076e+001°)
1.62181009735892e+003	(8.07528014502484e+001dB,-8.82656284819156e+001°)
1.65958690743755e+003	(8.05528603264110e+001dB,-8.82252290342609e+001°)
1.69824365246173e+003	(8.03529219785092e+001dB,-8.81838885094670e+001°)
1.73780082874936e+003	(8.01529865374833e+001dB,-8.81415849832546e+001°)
1.77827941003891e+003	(7.99530541404558e+001dB,-8.80982960203954e+001°)
1.81970085860997e+003	(7.97531249310235e+001dB,-8.80539986627910e+001°)
1.86208713666286e+003	(7.95531990595640e+001dB,-8.80086694172745e+001°)
1.90546071796323e+003	(7.93532766835566e+001dB,-8.79622842431250e+001°)
1.94984459975803e+003	(7.91533579679183e+001dB,-8.79148185392897e+001°)
1.99526231496887e+003	(7.89534430853558e+001dB,-8.78662471313102e+001°)
2.04173794466952e+003	(7.87535322167345e+001dB,-8.78165442579366e+001°)
2.08929613085403e+003	(7.85536255514647e+001dB,-8.77656835574338e+001°)
2.13796208950222e+003	(7.83537232879063e+001dB,-8.77136380535631e+001°)
2.18776162394954e+003	(7.81538256337929e+001dB,-8.76603801412374e+001°)
2.23872113856832e+003	(7.79539328066759e+001dB,-8.76058815718378e+001°)
2.29086765276776e+003	(7.77540450343901e+001dB,-8.75501134381896e+001°)
