time	V(vo_op)
4.127294510434389e-003	8.283665e+000
4.137060135434389e-003	8.289206e+000
4.146825760434389e-003	8.293318e+000
4.156591385434389e-003	8.296381e+000
4.176122635434388e-003	8.300121e+000
4.195653885434388e-003	8.301242e+000
4.215185135434387e-003	8.299849e+000
4.234716385434387e-003	8.295487e+000
4.244482010434387e-003	8.291784e+000
4.254247635434387e-003	8.286584e+000
4.264013260434386e-003	8.279194e+000
4.273778885434386e-003	8.268517e+000
4.283544510434386e-003	8.253184e+000
4.290234010841798e-003	8.238626e+000
4.296278475682419e-003	8.221313e+000
4.300758813445829e-003	8.204914e+000
4.305191981155979e-003	8.184320e+000
4.307824057578612e-003	8.167356e+000
4.310435287864392e-003	8.143359e+000
4.312654506602240e-003	8.115559e+000
4.314825925147052e-003	8.081174e+000
4.318391657606203e-003	8.015780e+000
4.322017201074216e-003	7.940860e+000
4.329207245609848e-003	7.777084e+000
4.336758804339280e-003	7.592548e+000
4.346524429339280e-003	7.340444e+000
4.356290054339279e-003	7.078136e+000
4.366055679339279e-003	6.807015e+000
4.375821304339279e-003	6.528475e+000
4.385586929339279e-003	6.243674e+000
4.395352554339278e-003	5.953685e+000
4.405118179339278e-003	5.659545e+000
4.414883804339278e-003	5.362280e+000
4.424649429339278e-003	5.062917e+000
4.434415054339278e-003	4.762542e+000
4.444180679339277e-003	4.462352e+000
4.453946304339277e-003	4.163560e+000
4.463711929339277e-003	3.867298e+000
4.473477554339277e-003	3.574653e+000
4.483243179339277e-003	3.286543e+000
4.491171559378549e-003	3.057131e+000
4.499317860751699e-003	2.826225e+000
4.506246996103783e-003	2.633773e+000
4.513840288515887e-003	2.427796e+000
4.523605913515887e-003	2.170363e+000
4.533371538515887e-003	1.921950e+000
4.543137163515887e-003	1.683977e+000
4.552902788515886e-003	1.457347e+000
4.562668413515886e-003	1.242975e+000
4.572434038515886e-003	1.039738e+000
4.576524850177834e-003	9.584283e-001
4.578584685456120e-003	9.187406e-001
4.578596191238561e-003	9.185272e-001
4.578757272192745e-003	9.154774e-001
4.578941364711812e-003	9.119997e-001
