Freq.	V(n002)
1.05876603311368e+002	(-1.16847230571041e+002dB,1.79572575151703e+002°)
1.05900985107166e+002	(-1.16843230571401e+002dB,1.79572476722988e+002°)
1.05925372517727e+002	(-1.16839230571760e+002dB,1.79572378271607e+002°)
1.05949765544343e+002	(-1.16835230572120e+002dB,1.79572279797555e+002°)
1.05974164188308e+002	(-1.16831230572480e+002dB,1.79572181300826e+002°)
1.05998568450915e+002	(-1.16827230572840e+002dB,1.79572082781415e+002°)
1.06022978333458e+002	(-1.16823230573201e+002dB,1.79571984239317e+002°)
1.06047393837231e+002	(-1.16819230573561e+002dB,1.79571885674528e+002°)
1.06071814963529e+002	(-1.16815230573922e+002dB,1.79571787087040e+002°)
1.06096241713647e+002	(-1.16811230574283e+002dB,1.79571688476850e+002°)
1.06120674088879e+002	(-1.16807230574644e+002dB,1.79571589843952e+002°)
1.06145112090522e+002	(-1.16803230575005e+002dB,1.79571491188342e+002°)
1.06169555719870e+002	(-1.16799230575366e+002dB,1.79571392510012e+002°)
1.06194004978220e+002	(-1.16795230575727e+002dB,1.79571293808959e+002°)
1.06218459866868e+002	(-1.16791230576089e+002dB,1.79571195085178e+002°)
1.06242920387110e+002	(-1.16787230576451e+002dB,1.79571096338662e+002°)
1.06267386540244e+002	(-1.16783230576813e+002dB,1.79570997569407e+002°)
1.06291858327567e+002	(-1.16779230577175e+002dB,1.79570898777408e+002°)
1.06316335750375e+002	(-1.16775230577537e+002dB,1.79570799962659e+002°)
1.06340818809967e+002	(-1.16771230577900e+002dB,1.79570701125154e+002°)
1.06365307507641e+002	(-1.16767230578262e+002dB,1.79570602264890e+002°)
1.06389801844696e+002	(-1.16763230578625e+002dB,1.79570503381860e+002°)
1.06414301822429e+002	(-1.16759230578988e+002dB,1.79570404476060e+002°)
1.06438807442140e+002	(-1.16755230579351e+002dB,1.79570305547483e+002°)
1.06463318705129e+002	(-1.16751230579715e+002dB,1.79570206596125e+002°)
1.06487835612694e+002	(-1.16747230580078e+002dB,1.79570107621981e+002°)
1.06512358166136e+002	(-1.16743230580442e+002dB,1.79570008625045e+002°)
1.06536886366754e+002	(-1.16739230580806e+002dB,1.79569909605313e+002°)
1.06561420215849e+002	(-1.16735230581169e+002dB,1.79569810562778e+002°)
1.06585959714723e+002	(-1.16731230581534e+002dB,1.79569711497435e+002°)
1.06610504864675e+002	(-1.16727230581898e+002dB,1.79569612409280e+002°)
1.06635055667008e+002	(-1.16723230582262e+002dB,1.79569513298307e+002°)
1.06659612123023e+002	(-1.16719230582627e+002dB,1.79569414164511e+002°)
1.06684174234022e+002	(-1.16715230582992e+002dB,1.79569315007887e+002°)
1.06708742001307e+002	(-1.16711230583357e+002dB,1.79569215828428e+002°)
1.06733315426181e+002	(-1.16707230583722e+002dB,1.79569116626131e+002°)
1.06757894509947e+002	(-1.16703230584087e+002dB,1.79569017400990e+002°)
1.06782479253907e+002	(-1.16699230584453e+002dB,1.79568918152999e+002°)
1.06807069659366e+002	(-1.16695230584818e+002dB,1.79568818882153e+002°)
1.06831665727627e+002	(-1.16691230585184e+002dB,1.79568719588447e+002°)
1.06856267459994e+002	(-1.16687230585550e+002dB,1.79568620271876e+002°)
1.06880874857771e+002	(-1.16683230585916e+002dB,1.79568520932435e+002°)
1.06905487922263e+002	(-1.16679230586283e+002dB,1.79568421570117e+002°)
1.06930106654776e+002	(-1.16675230586649e+002dB,1.79568322184919e+002°)
