Freq.	V(outint)/V(Vin)
4.89778819368442e+003	(-1.98510365670039e+001dB,9.13816863482051e+001°)
5.01187233627268e+003	(-2.00508491929981e+001dB,9.13299158888466e+001°)
5.12861383991361e+003	(-2.02506712154950e+001dB,9.12788481665723e+001°)
5.24807460249768e+003	(-2.04505022578215e+001dB,9.12284562690479e+001°)
5.37031796370248e+003	(-2.06503419629056e+001dB,9.11787136321999e+001°)
5.49540873857620e+003	(-2.08501899913152e+001dB,9.11295940260793e+001°)
5.62341325190344e+003	(-2.10500460214449e+001dB,9.10810715420641e+001°)
5.75439937337152e+003	(-2.12499097493317e+001dB,9.10331205791259e+001°)
5.88843655355584e+003	(-2.14497808858016e+001dB,9.09857158316753e+001°)
6.02559586074353e+003	(-2.16496591589153e+001dB,9.09388322760679e+001°)
6.16595001861477e+003	(-2.18495443099326e+001dB,9.08924451583908e+001°)
6.30957344480188e+003	(-2.20494360978828e+001dB,9.08465299814276e+001°)
6.45654229034650e+003	(-2.22493342923414e+001dB,9.08010624919137e+001°)
6.60693448007590e+003	(-2.24492386775102e+001dB,9.07560186688110e+001°)
6.76082975391976e+003	(-2.26491490511435e+001dB,9.07113747106389e+001°)
6.91830970918931e+003	(-2.28490652242101e+001dB,9.06671070232062e+001°)
7.07945784384132e+003	(-2.30489870185092e+001dB,9.06231922072481e+001°)
7.24435960074984e+003	(-2.32489142685502e+001dB,9.05796070469882e+001°)
7.41310241300911e+003	(-2.34488468206797e+001dB,9.05363284974893e+001°)
7.58577575029177e+003	(-2.36487845320921e+001dB,9.04933336731603e+001°)
7.76247116628685e+003	(-2.38487272697113e+001dB,9.04505998357438e+001°)
7.94328234724275e+003	(-2.40486749134434e+001dB,9.04081043824658e+001°)
8.12830516164092e+003	(-2.42486273532077e+001dB,9.03658248346350e+001°)
8.31763771102664e+003	(-2.44485844860480e+001dB,9.03237388256115e+001°)
8.51138038202369e+003	(-2.46485462233160e+001dB,9.02818240893127e+001°)
8.70963589956073e+003	(-2.48485124823280e+001dB,9.02400584487850e+001°)
8.91250938133738e+003	(-2.50484831928349e+001dB,9.01984198045582e+001°)
9.12010839355902e+003	(-2.52484582915380e+001dB,9.01568861229138e+001°)
9.33254300796983e+003	(-2.54484377268030e+001dB,9.01154354249237e+001°)
